District,Jurisdiction,Route,Route Name,VA Struc No.,Fed Struc Id,Crossing,Type,Year Built,Year Recnst (State),Year Recnst (Fed),Deck Cond,Super Cond,Sub Cond,Culvert Cond,Suffic Rating,NBI,Func Obslt,Struc Defic,Last Inspected,Weight Posting Status,Single Sign - Single Unit Vehicle - Posted Capacity (in tons),Dual Sign - Single Unit Vehicle - Posted Capacity (in tons),Dual Sign - Combination Unit Vehicle - Posted Capacity (in tons),Responsibility,Structure Length (FT),Structure Width (FT),Avg Daily Traffic,Road System,Health Index,Report Date
Culpeper,Albemarle County,01721,TIMBERWOOD BLVD.,6403,0023995,PEDESTRIAN UNDERPASS,Culvert,1992,0,-1,N,N,N,8,79.0,N,,,8/13/2012,-,,,,Private (non-rail),8.9,120,3813,O,100,2/5/2014
Culpeper,Fluvanna County,00647,SHILOH CHURCH RD,6052,0024093,RACCOON CREEK,Bridge,1994,1994,-1,8,8,8,N,78.0,Y,FO,,9/26/2013,-,,,,VDOT,26,36.3,133,Secondary,100,2/5/2014
Culpeper,Fluvanna County,00647,SHILOH CHURCH RD.,6053,0024094,OVERFLOW FOR RACCOON CRK,Culvert,1994,0,-1,N,N,N,7,99.0,N,,,2/10/2011,-,,,,VDOT,9.8,54,133,Secondary,100,2/5/2014
Culpeper,Fauquier County,00626,Halfway Road,6037,0024119,Little River,Bridge,1995,0,-1,8,8,8,N,89.4,Y,,,4/3/2013,-,,,,VDOT,45,30,1833,Secondary,100,2/5/2014
Culpeper,Fauquier County,00657,Kings Hill Road,6307,0024124,Tin Pot Run,Culvert,1995,0,-1,N,N,N,7,99.9,Y,,,2/5/2013,-,,,,VDOT,25,41,221,Secondary,100,2/5/2014
Culpeper,Albemarle County,01226,CLING LANE,6406,0024128,POWELLS CREEK,Culvert,1994,0,-1,N,N,N,7,91.3,Y,,,11/14/2012,-,,,,VDOT,22,50,293,Secondary,100,2/5/2014
Culpeper,Fauquier County,00738,Wilson Road,6310,0024182,South Run,Culvert,1995,0,-1,N,N,N,7,98.7,N,,,5/1/2013,-,,,,VDOT,18,90,386,Secondary,100,2/5/2014
Culpeper,Louisa County,00669,Ellisville Drive,6132,0024190,Nunn Creek,Culvert,1992,0,-1,N,N,N,7,97.9,Y,,,5/22/2013,-,,,,VDOT,26,71,1235,Secondary,99.53,2/5/2014
Culpeper,Culpeper County,00609,Hoover Road,6091,0024350,Stream,Culvert,1989,0,-1,N,N,N,6,98.5,N,,,10/8/2013,-,,,,VDOT,15,73,1751,Secondary,66.67,2/5/2014
Culpeper,Rappahannock County,00729,Richmond Road,6062,0024319,Battle Run,Bridge,1995,0,-1,7,7,7,N,97.6,Y,,,10/2/2013,-,,,,VDOT,65,32,674,Secondary,99.76,2/5/2014
Culpeper,Louisa County,00610,Holly Grove Road,6013,0024446,Folly Creek,Culvert,1995,0,-1,N,N,N,7,98.8,Y,,,1/9/2014,-,,,,VDOT,37,59,532,Secondary,99.44,2/5/2014
Culpeper,Madison County,00657,Thrift Road,6068,0024464,Branch of White Oak Run,Culvert,1996,0,-1,N,N,N,7,99.9,N,,,1/4/2012,-,,,,VDOT,12,24,121,Secondary,100,2/5/2014
Culpeper,Albemarle County,00671,MILLINGTON ROAD,6058,0024488,MOORMANS RIVER,Bridge,1996,0,-1,7,7,7,N,79.0,Y,,,12/17/2013,-,,,,VDOT,187,25.9,773,Secondary,92.93,2/5/2014
Culpeper,Madison County,00662,Graves Mill Road,6042,0024506,Rapidan River,Bridge,1996,0,-1,7,7,7,N,71.9,Y,,,8/13/2012,-,,,,VDOT,145,28.4,996,Secondary,96.08,2/5/2014
Culpeper,Fluvanna County,00601,COURTHOUSE ROAD,6004,0024646,BALLINGER CREEK,Bridge,1996,0,-1,7,7,7,N,87.4,Y,,,9/3/2013,-,,,,VDOT,77.1,39.4,691,Secondary,100,2/5/2014
Culpeper,Fluvanna County,00688,HIDDEN VALLEY ROAD,6081,0024618,BRANCH CUNNINGHAM CREEK,Culvert,1996,0,-1,N,N,N,7,92.7,Y,,,9/26/2013,-,,,,VDOT,24.9,56,135,Secondary,100,2/5/2014
Culpeper,Madison County,00613,Kinderhook Road,6059,0024581,Branch of Conway River,Culvert,1996,0,-1,N,N,N,7,96.8,N,,,5/15/2012,-,,,,VDOT,12,56,283,Secondary,66.67,2/5/2014
Culpeper,Madison County,00649,Quaker Run Road,6033,0024558,Quaker Run,Bridge,1996,0,-1,7,7,7,N,78.2,Y,,,5/17/2012,-,,,,VDOT,40,24,213,Secondary,99.85,2/5/2014
Culpeper,Madison County,00676,General Banks Lane,6176,0024559,Rapidan River,Bridge,1996,0,-1,7,7,7,N,67.3,Y,,,5/3/2012,-,,,,VDOT,73,15.2,38,Secondary,99.65,2/5/2014
Culpeper,Fluvanna County,00610,COUMMUINTY HOUSE R,6065,0024547,BRANCH BYRD CREEK,Culvert,1996,0,-1,N,N,N,7,100.0,N,,,9/17/2013,-,,,,VDOT,19,56,119,Secondary,100,2/5/2014
Culpeper,Fluvanna County,00625,OAK CREEK ROAD,6042,0024649,BALLINGER CREEK,Bridge,1996,0,-1,7,7,7,N,95.0,Y,,,9/26/2013,-,,,,VDOT,65,28.5,139,Secondary,99.25,2/5/2014
Culpeper,Madison County,00015,James Madison Hwy.,1001,0024710,Robinson River,Bridge,1996,0,-1,7,7,7,N,84.9,Y,,,11/19/2012,-,,,,VDOT,192,47.3,13173,Primary,98.83,2/5/2014
Culpeper,Albemarle County,00743,ADVANCE MILLS ROAD,6225,0024712,BRANCH JACOBS RUN,Culvert,1996,0,-1,N,N,N,7,95.8,N,,,11/17/2010,-,,,,VDOT,9.8,57,1171,Secondary,100,2/5/2014
Culpeper,Greene County,00617,Dunnes Shop Road,6007,0024715,Welsh Run,Bridge,1996,0,-1,7,7,7,N,89.1,Y,,,11/7/2012,-,,,,VDOT,45,26.8,612,Secondary,99.91,2/5/2014
Culpeper,Greene County,00667,Middle River Road,6064,0024716,Branch of Conway River,Culvert,1996,0,-1,N,N,N,7,88.2,N,,,11/2/2012,-,,,,VDOT,18,40,410,Secondary,94.44,2/5/2014
Culpeper,Louisa County,00654,Bagby Road,6042,0024679,Little River,Bridge,1996,0,-1,6,6,7,N,98.9,Y,,,9/5/2012,-,,,,VDOT,135,30,141,Secondary,96.47,2/5/2014
Culpeper,Charlottesville,00250,WEST MAIN STREET,1811,0024651,NORFOLK SOUTHERN RAILWAY,Bridge,1996,0,-1,7,8,7,N,92.9,Y,,,8/13/2013,-,,,,City,126,62,21500,Primary,,2/5/2014
Culpeper,Fauquier County,00604,Burwell Road,6008,0024658,Kettle Run,Bridge,1996,0,-1,8,8,7,N,95.9,Y,,,8/2/2012,-,,,,VDOT,45,28,185,Secondary,99.81,2/5/2014
Culpeper,Madison County,00609,W Hoover Road,6007,0024767,Leathers Run,Bridge,1940,1996,-1,7,7,6,N,98.2,Y,,,1/8/2013,-,,,,VDOT,60,34.3,578,Secondary,99.78,2/5/2014
Culpeper,Warrenton,00015,RTE 15(29) S.B.BUS,1805,0024769,RTE. 17 N.& S.B. SPUR,Bridge,1997,0,-1,7,8,8,N,100.0,Y,,,3/4/2013,-,,,,VDOT,222,55.3,19758,Primary,98.84,2/5/2014
Culpeper,Warrenton,00015,RTE.15(29) N.B.BUS,1804,0024770,RTE. 17 N.& S.B. SPUR,Bridge,1997,0,-1,7,7,7,N,95.0,Y,,,1/7/2013,-,,,,VDOT,222,55.3,19758,Primary,98.45,2/5/2014
Culpeper,Warrenton,00000,HASTINGS LANE,1803,0024771,RTE. 17 N.B.&S.B. BYPASS,Bridge,1997,0,-1,7,7,7,N,80.9,Y,,,1/7/2013,-,,,,VDOT,222,45.7,11894,Urban,98.87,2/5/2014
Culpeper,Fauquier County,00726,Fiery Run Road,6276,0024772,Fiery Run,Culvert,1996,0,-1,N,N,N,7,98.9,Y,,,1/7/2013,-,,,,VDOT,32,56,89,Secondary,100,2/5/2014
Culpeper,Culpeper County,00643,North Merrimac Road,6129,0024774,Mountain Run,Culvert,1994,2008,2008,N,N,N,7,98.4,Y,,,1/8/2013,-,,,,VDOT,28,51,1612,Secondary,98.69,2/5/2014
Culpeper,Rappahannock County,00629,Bean Hollow Road,6159,0024744,Jordan River,Culvert,1995,0,-1,N,N,N,7,92.0,N,,,12/14/2012,-,,,,VDOT,12,50,104,Secondary,98.33,2/5/2014
Culpeper,Rappahannock County,00629,Bean Hollow Road,6160,0024745,Jordan River,Culvert,2000,0,-1,N,N,N,6,92.0,N,,,12/14/2012,-,,,,VDOT,12,35,104,Secondary,66.67,2/5/2014
Culpeper,Fauquier County,00678,Academy Hill Road,6348,0024751,Rte 15/29 Bypass,Bridge,1996,0,-1,7,7,7,N,92.9,Y,,,1/4/2013,-,,,,VDOT,232,34.5,11,Secondary,97.94,2/5/2014
Culpeper,Fauquier County,00015,15/29 Bypass SBL,1008,0024755,Rte 17 Spur NBL,Bridge,1997,0,-1,7,7,7,N,98.1,Y,,,12/19/2013,-,,,,VDOT,236,43.3,19758,Primary,99.16,2/5/2014
Culpeper,Madison County,00718,Wallace Gap Lane,6046,0024844,Garth Run,Bridge,1997,0,-1,6,6,7,N,70.5,Y,FO,,4/15/2013,-,,,,VDOT,33,18.6,293,Secondary,86.61,2/5/2014
Culpeper,Madison County,00613,Kinderhook Road,6057,0024845,Conway River,Bridge,1997,0,-1,6,6,7,N,89.3,Y,,,4/8/2013,-,,,,VDOT,73,27,283,Secondary,96.83,2/5/2014
Culpeper,Madison County,00740,Laurel Drive,6047,0024846,Stream,Culvert,1990,0,-1,N,N,N,6,90.1,N,,,4/15/2013,-,,,,VDOT,9.8,51,209,Secondary,66.67,2/5/2014
Culpeper,Madison County,00015,James Madison Highw,1012,0024902,Overflow,Culvert,1996,0,-1,N,N,N,8,83.9,N,,,5/9/2013,-,,,,VDOT,9,120,13173,Primary,100,2/5/2014
Culpeper,Fauquier County,00211,Lee Highway WBL,1910,0024952,Rappahannock River,Bridge,1997,0,-1,7,7,7,N,94.2,Y,,,6/17/2013,-,,,,VDOT,297,43.3,7719,Primary,98.44,2/5/2014
Culpeper,Fauquier County,00015,15/29 Bypass NBL,1009,0024943,Rte 17 Spur NBL,Bridge,1997,0,-1,7,7,7,N,98.1,Y,,,12/19/2013,-,,,,VDOT,236,43.3,19758,Primary,99.42,2/5/2014
Culpeper,Albemarle County,00682,BROAD AXE ROAD,6197,0024944,BRANCH MECHUMS RIVER,Culvert,1997,0,-1,N,N,N,7,99.9,N,,,6/21/2013,-,,,,VDOT,20,66,264,Secondary,100,2/5/2014
Culpeper,Louisa County,00688,Holland Creek Road,6099,0025024,Branch Roundabout Creek,Culvert,1997,0,-1,N,N,N,7,97.0,N,,,9/23/2013,-,,,,VDOT,19.6,58,68,Secondary,99.04,2/5/2014
Culpeper,Greene County,00810,Dyke Road,6034,0025016,Swift Run,Bridge,1997,0,-1,7,7,7,N,96.1,Y,,,7/15/2013,-,,,,VDOT,45,35,1669,Secondary,99.95,2/5/2014
Culpeper,Warrenton,00672,Blackwell Road,1806,0024958,Route 17 Spur,Bridge,1997,0,-1,7,7,7,N,95.0,Y,,,11/8/2013,-,,,,VDOT,226.3,45.7,1543,Urban,94.51,2/5/2014
Culpeper,Fauquier County,00806,Elk Run Road,6155,0025008,Furrs Run,Culvert,1997,0,-1,N,N,N,7,98.2,Y,,,9/6/2013,-,,,,VDOT,25,44,1106,Secondary,100,2/5/2014
Culpeper,Albemarle County,00710,TAYLORS GAP ROAD,6086,0025095,MIDDLE BRANCH,Bridge,1977,1997,1997,7,7,7,N,89.9,Y,,,7/15/2013,-,,,,VDOT,31.5,24.5,263,Secondary,100,2/5/2014
Culpeper,Rappahannock County,00522,Sperryville Pike,1052,0025097,North Fork Walnut Creek,Culvert,1997,0,-1,N,N,N,7,95.4,Y,,,11/19/2013,-,,,,VDOT,26,70,2077,Primary,92.86,2/5/2014
Culpeper,Madison County,00665,Garth Run Road,6105,0025066,Garth Run,Culvert,1997,0,-1,N,N,N,7,90.7,N,,,11/15/2013,-,,,,VDOT,14,49,139,Secondary,95.92,2/5/2014
Culpeper,Fauquier County,F1056,Moffett Drive,6352,0025067,Stream,Culvert,1997,0,-1,N,N,N,7,91.9,Y,,,11/5/2013,-,,,,VDOT,43,25,6,Secondary,96,2/5/2014
Culpeper,Warrenton,00017,Ramp 17Spur S to 15,1808,0025111,Branch Cedar Run,Culvert,1997,0,-1,N,N,N,7,96.7,Y,,,10/1/2013,-,,,,VDOT,32,60,14263,Primary,96.3,2/5/2014
Culpeper,Fauquier County,00017,Rte 17 Spur SBL Ram,1004,0025113,Rte 17 Bus. NBL & SBL,Bridge,1997,0,-1,7,7,6,N,98.0,Y,,,11/15/2013,-,,,,VDOT,313.6,43.3,13422,Primary,98.78,2/5/2014
Culpeper,Madison County,00634,Oak Park Road,6020,0025102,Dark Run,Bridge,1997,0,-1,7,7,7,N,92.8,Y,,,12/11/2013,-,,,,VDOT,91,31.5,1102,Secondary,97.76,2/5/2014
Culpeper,Madison County,00634,Oak Park Road,6154,0025103,Stream,Culvert,1997,0,-1,N,N,N,6,98.9,Y,,,12/11/2013,-,,,,VDOT,26,61,1102,Secondary,86.34,2/5/2014
Culpeper,Fauquier County,00017,RTE. 17 SB SPUR RP,1016,0025104,Cattail Branch,Culvert,1997,0,-1,N,N,N,7,91.5,Y,,,3/28/2012,-,,,,VDOT,32,222,22574,Primary,100,2/5/2014
Culpeper,Warrenton,00015,Ramp 15BusN To 15By,1809,0025106,Branch Cedar Run,Culvert,1997,0,-1,N,N,N,7,97.9,Y,,,12/17/2013,-,,,,VDOT,62,120,8000,Primary,95.83,2/5/2014
Culpeper,Albemarle County,00029,MONACAN TRAIL ROAD,1085,0025120,SOUTH FORK HARDWARE RVR,Culvert,1997,0,-1,N,N,N,7,96.3,Y,,,3/4/2013,-,,,,VDOT,36.1,54,7335,Primary,100,2/5/2014
Culpeper,Culpeper County,00620,Kellys Ford Road,6908,0025150,Rappahannock River,Bridge,2001,0,-1,7,7,7,N,92.9,Y,,,6/20/2013,-,,,,VDOT,435.4,31.8,1329,Secondary,100,2/5/2014
Culpeper,Albemarle County,00631,APPLEBERRY MT. RD.,6028,0025151,SOUTH FORK HARDWARE RVR,Bridge,2000,0,-1,7,7,8,N,70.9,Y,FO,,4/16/2013,-,,,,VDOT,60,16.1,40,Secondary,100,2/5/2014
Culpeper,Greene County,00033,Stanardsville Bypas,1020,0025155,Stream,Culvert,1998,0,-1,N,N,N,6,96.5,Y,,,2/2/2012,-,,,,VDOT,22,187,6260,Primary,95.54,2/5/2014
Culpeper,Greene County,00033,Stanardsville Bypas,1019,0025156,Branch of Blue Run,Culvert,1998,0,-1,N,N,N,7,97.4,N,,,11/19/2013,-,,,,VDOT,7.8,208,6260,Primary,100,2/5/2014
Culpeper,Greene County,00033,Spotswood Trail,1018,0025157,Blue Run,Culvert,1998,0,-1,N,N,N,7,96.8,Y,,,2/23/2012,-,,,,VDOT,60,272,4909,Primary,93.87,2/5/2014
Culpeper,Greene County,00033,Spotswood Trail,1017,0025158,Blue Run,Culvert,1998,0,-1,N,N,N,7,97.5,Y,,,2/27/2012,-,,,,VDOT,45,190,4909,Primary,92.69,2/5/2014
Culpeper,Greene County,00810,Dyke Road,6077,0025262,Parker Branch,Culvert,1998,0,-1,N,N,N,7,99.9,Y,,,8/6/2012,-,,,,VDOT,21,55,1326,Secondary,100,2/5/2014
Culpeper,Orange,00633,SPICERS MILL ROAD,6125,0025191,BRANCH OF POPLAR RUN,Culvert,1997,0,-1,N,N,N,8,96.8,N,,,11/19/2013,-,,,,Town,18,51,411,Urban,,2/5/2014
Culpeper,Orange,00015,ROUTE 15,1022,0025184,BRANCH OF POPLAR RUN,Culvert,1997,0,-1,N,N,N,8,82.9,N,,,11/19/2013,-,,,,Town,18,58,9820,Primary,,2/5/2014
Culpeper,Culpeper County,00692,Old Orange Road,6049,0025285,Cedar Run,Bridge,1940,1998,-1,7,7,7,N,79.0,Y,FO,,4/19/2012,-,,,,VDOT,27.8,20,109,Secondary,95.69,2/5/2014
Culpeper,Rappahannock County,00617,CASLETON VIEW RD.,6161,0025314,PEDESTRIAN UNDERPASS,Culvert,1998,0,-1,N,N,N,8,96.9,N,,,4/20/2010,-,,,,VDOT,9,80,176,Secondary,100,2/5/2014
Culpeper,Louisa County,00613,Goldmine Road,6016,0025294,Duckinghole Creek,Bridge,1963,1998,-1,8,8,6,N,86.2,Y,,,4/12/2012,-,,,,VDOT,32,24.7,675,Secondary,98.47,2/5/2014
Culpeper,Greene County,00810,Dyke Road,6078,0025555,Parker Branch,Culvert,1998,0,-1,N,N,N,7,98.9,Y,,,8/9/2012,-,,,,VDOT,32,52,1326,Secondary,99.79,2/5/2014
Culpeper,Albemarle County,01250,PARK RIDGE DRIVE,6407,0025557,BUCKINGHAM BRANCH RR,Bridge,1996,0,-1,7,7,7,N,62.0,Y,,,12/16/2013,-,,,,VDOT,55,36,3975,Secondary,99.41,2/5/2014
Culpeper,Culpeper County,00632,Dutch Hollow Road,6020,0025536,Muddy Run,Bridge,1998,0,-1,8,8,7,N,91.2,Y,,,7/10/2012,-,,,,VDOT,45,28,376,Secondary,99.83,2/5/2014
Culpeper,Albemarle County,00677,OLD BALLARD ROAD,6193,0025505,BRANCH IVY CREEK,Culvert,1998,0,-1,N,N,N,6,98.7,N,,,7/10/2012,-,,,,VDOT,17.5,46,829,Secondary,100,2/5/2014
Culpeper,Madison County,00650,Beamers Head Road,6028,0025508,Mulatto Run,Culvert,1998,0,-1,N,N,N,7,91.4,N,,,7/6/2010,-,,,,VDOT,19,25,69,Secondary,100,2/5/2014
Culpeper,Madison County,00231,N. Blue Ridge Tpk.,1005,0025399,Robinson River,Bridge,1998,0,-1,7,7,7,N,94.0,Y,,,6/7/2012,-,,,,VDOT,304,42,3477,Primary,99.81,2/5/2014
Culpeper,Albemarle County,00614,SUGAR HOLLOW ROAD,6015,0025692,MOORMANS RIVER,Bridge,1998,0,-1,6,7,8,N,75.7,Y,FO,,11/6/2012,-,,,,VDOT,65,20,319,Secondary,99.09,2/5/2014
Culpeper,Madison County,00029,NBL Seminole Trail,1009,0025693,Robinson River,Bridge,1998,0,-1,7,8,7,N,98.3,Y,,,12/3/2012,-,,,,VDOT,243,42.7,7787,Primary,96.89,2/5/2014
Culpeper,Albemarle County,00614,SUGAR HOLLOW ROAD,6016,0025810,MOORMANS RIVER,Bridge,1998,0,-1,7,7,8,N,88.2,Y,FO,,11/6/2012,-,,,,VDOT,65,20,287,Secondary,98.78,2/5/2014
Culpeper,Culpeper County,00669,Carrico Mills Road,6046,0025758,Mountain Run,Bridge,1999,0,-1,7,7,7,N,97.8,Y,,,1/14/2013,-,,,,VDOT,138,36,2440,Secondary,99.26,2/5/2014
Culpeper,Fauquier County,00635,Hume Road,6901,0025761,Rappahannock River,Bridge,1999,0,-1,7,7,7,N,88.5,Y,,,1/7/2013,-,,,,VDOT,60,27,398,Secondary,100,2/5/2014
Culpeper,Greene County,00614,Brokenback Mtn Rd,6090,0025980,Lynch River,Bridge,1999,0,-1,7,7,6,N,99.0,Y,,,3/21/2013,-,,,,VDOT,45,24,28,Secondary,99.84,2/5/2014
Culpeper,Albemarle County,00029,SEMINOLE TRAIL SBL,1022,0025821,SOUTH FORK RIVANNA RIVER,Bridge,1987,1999,-1,7,7,7,N,77.1,Y,,,10/31/2012,-,,,,VDOT,294.9,68.6,24687,Primary,99.1,2/5/2014
Culpeper,Albemarle County,00029,SEMINOLE TRAIL NBL,1062,0025822,SOUTH FORK RIVANNA RIVER,Bridge,2001,0,-1,7,7,7,N,78.1,Y,,,10/31/2012,-,,,,VDOT,294.9,64.3,24687,Primary,99.31,2/5/2014
Culpeper,Greene County,00810,Dyke Road,6035,0026176,Blue Run,Culvert,1999,0,-1,N,N,N,7,99.5,Y,,,11/19/2013,-,,,,VDOT,32,146,1669,Secondary,95.13,2/5/2014
Culpeper,Greene County,00646,Garth Road,6092,0026177,Blue Run,Culvert,1999,0,-1,N,N,N,7,99.9,Y,,,9/17/2013,-,,,,VDOT,26,70,225,Secondary,99.21,2/5/2014
Culpeper,Orange County,00643,Cox Mill Road,6025,0026074,White Oak Creek,Culvert,1970,2001,-1,N,N,N,6,96.6,Y,,,5/10/2013,-,,,,VDOT,21,60,834,Secondary,79.34,2/5/2014
Culpeper,Fauquier County,00015,15/29 Bypass,1104,0026291,Turkey Run,Culvert,1986,0,-1,N,N,N,6,73.8,Y,,,1/23/2014,-,,,,VDOT,21,193,39516,Primary,96.89,2/5/2014
Culpeper,Orange County,00631,Brick Church Road,6019,0026456,Church Run,Culvert,2000,0,-1,N,N,N,7,99.8,Y,,,7/10/2012,-,,,,VDOT,35,54,441,Secondary,99.79,2/5/2014
Culpeper,Albemarle County,01150,MILL CREEK DRIVE,6413,0026458,STREAM,Culvert,1997,0,-1,N,N,N,7,94.0,Y,,,9/5/2013,-,,,,VDOT,34.1,225,7839,Secondary,98.02,2/5/2014
Culpeper,Albemarle County,01670,ASHWOOD BLVD,6414,0026459,STREAM,Culvert,1995,0,-1,N,N,N,6,78.0,N,,,8/13/2012,-,,,,VDOT,9.8,168,5315,Secondary,84.71,2/5/2014
Culpeper,Greene County,00033,SPOTSWOOD TRAIL,1021,0026578,BRANCH BLUE RUN,Culvert,2000,0,-1,N,N,N,7,99.5,N,,,2/2/2010,-,,,,VDOT,12,134,2050,Primary,100,2/5/2014
Culpeper,Greene County,00033,SPOTSWOOD TRAIL,1016,0026364,Branch Blue Run,Culvert,1998,0,-1,N,N,N,7,97.6,N,,,2/27/2012,-,,,,VDOT,16,62,4400,Primary,97.31,2/5/2014
Culpeper,Fauquier County,00676,RILEY RD.,6332,0026336,Br of Broad run,Culvert,2000,0,-1,N,N,N,7,99.3,Y,,,3/21/2012,-,,,,VDOT,34,81,2314,Secondary,96.91,2/5/2014
Culpeper,Albemarle County,01177,DUNLORA DRIVE,6411,0026374,STREAM,Culvert,1996,0,-1,N,N,N,7,81.0,N,,,2/7/2012,-,,,,VDOT,9,155,1389,Secondary,100,2/5/2014
Culpeper,Albemarle County,01068,SOUTHERN HILLS,6409,0026375,SOUTH BRANCH,Culvert,1996,0,-1,N,N,N,6,92.0,Y,,,7/9/2013,-,,,,VDOT,23,118,214,Secondary,100,2/5/2014
Culpeper,Orange,02017,BELLVIEW AVENUE,6135,0026638,DRAINAGE AREA,Culvert,1997,0,-1,N,N,N,7,97.0,N,,,11/2/2012,-,,,,Town,17.1,49,411,Urban,,2/5/2014
Culpeper,Culpeper County,01170,Quail Ridge  Road,6013,0026591,Branch of Indian Run,Culvert,1993,0,-1,N,N,N,7,98.6,Y,,,12/6/2012,-,,,,VDOT,37,111,833,Secondary,100,2/5/2014
Culpeper,Culpeper County,01170,Quail Ridge Road,6016,0026592,Indian Run,Culvert,1990,0,-1,N,N,N,7,98.9,Y,,,12/6/2012,-,,,,VDOT,30,137,314,Secondary,100,2/5/2014
Culpeper,Fluvanna County,00608,ROUTE 608,6054,0026609,BRANCH BALLINGER CREEK,Culvert,2001,0,-1,N,N,N,8,100.0,N,,,6/25/2013,-,,,,VDOT,20,40,174,Secondary,100,2/5/2014
Culpeper,Fauquier County,00028,Catlett Road,1039,0026791,Cedar Run,Bridge,2005,0,-1,7,7,7,N,84.0,Y,,,8/5/2013,-,,,,VDOT,240,46.3,11338,Primary,98.73,2/5/2014
Culpeper,Louisa County,00660,Redhill Road,6048,0026769,Happy Creek,Culvert,2001,0,-1,N,N,N,6,98.8,Y,,,1/24/2014,-,,,,VDOT,58,58,316,Secondary,94.85,2/5/2014
Culpeper,Culpeper County,00620,Edwards Shop Road,6010,0026818,Mountain Run,Bridge,2012,0,-1,8,8,7,N,99.2,Y,,,12/5/2013,-,,,,VDOT,150,36,932,Secondary,100,2/5/2014
Culpeper,Culpeper,00000,OLD RIXEVILLE ROAD,6058,0026819,MOUNTAIN RUN,Bridge,2003,0,-1,7,7,7,N,95.2,Y,,,11/19/2013,-,,,,Town,55,53.7,2630,Urban,,2/5/2014
Culpeper,Albemarle County,01571,LEWIS & CLARK ROAD,6416,0026891,BRANCH RIVANNA RIVER,Culvert,1999,0,-1,N,N,N,8,96.3,N,,,9/12/2011,-,,,,VDOT,7.9,296,2361,Secondary,100,2/5/2014
Culpeper,Albemarle County,00637,DICK WOODS ROAD,6038,0027123,IVY CREEK,Bridge,2002,0,-1,7,7,7,N,91.0,Y,,,12/11/2013,-,,,,VDOT,34.1,29.9,1290,Secondary,100,2/5/2014
Culpeper,Fauquier County,00215,Vint Hill Road,1033,0027148,South Run,Culvert,2003,0,-1,N,N,N,8,96.8,Y,,,5/1/2013,-,,,,VDOT,45,89,4906,Primary,100,2/5/2014
Culpeper,Albemarle County,00020,SCOTTSVILLE ROAD,1061,0027152,HARDWARE RIVER,Bridge,2004,2004,-1,8,8,8,N,84.0,Y,,,12/3/2012,-,,,,VDOT,210,45.9,8485,Primary,99.05,2/5/2014
Culpeper,Orange County,00601,Flat Run Road,6098,0027171,Golf Cart Underpass,Culvert,2002,0,-1,N,N,N,7,99.5,N,,,4/16/2010,-,,,,VDOT,8,40,845,Secondary,98.33,2/5/2014
Culpeper,Orange County,00601,Flat Run Road,6097,0027159,Golf Cart Underpass,Culvert,2002,0,-1,N,N,N,7,99.5,N,,,4/16/2010,-,,,,VDOT,8,40,845,Secondary,98.33,2/5/2014
Culpeper,Albemarle County,01670,ASHWOOD BLVD,6415,0027259,STREAM,Culvert,1996,0,-1,N,N,N,7,79.3,Y,,,8/13/2012,-,,,,VDOT,25.9,116,1471,Secondary,99.43,2/5/2014
Culpeper,Orange County,00781,Litchfield Court,6008,0027314,Stream,Culvert,2001,0,-1,N,N,N,7,95.0,N,,,10/1/2012,-,,,,VDOT,6,64,0,Secondary,100,2/5/2014
Culpeper,Charlottesville,00000,JEFFERSON PARK AVE,8012,0027431,NORFOLK-SOUTHERN RAILWAY,Bridge,2012,0,-1,8,8,9,N,96.0,Y,FO,,9/7/2012,-,,,,City,94,69,13310,Urban,100,2/5/2014
Culpeper,Culpeper County,00647,Batna Road,6011,0027378,Brook Run,Bridge,2003,0,-1,7,7,7,N,96.4,Y,,,9/17/2013,-,,,,VDOT,40,28,159,Secondary,99.83,2/5/2014
Culpeper,Fauquier County,00688,Leeds Manor Road,6272,0027379,Carters Run,Bridge,2004,0,-1,7,8,7,N,90.7,Y,,,4/10/2012,-,,,,VDOT,105,32,2365,Secondary,96.33,2/5/2014
Culpeper,Madison County,00231,N Blue Ridge Tpk.,1022,0027383,White Oak Run,Bridge,2005,0,-1,7,7,7,N,98.0,Y,,,2/5/2013,-,,,,VDOT,160,46.5,3289,Primary,99.97,2/5/2014
Culpeper,Fluvanna County,00015,JAMES MADISON HWY.,1004,0027354,RIVANNA RIVER,Bridge,2007,2007,-1,7,8,8,N,91.3,Y,,,10/21/2013,-,,,,VDOT,461.9,52.5,6672,Primary,99.48,2/5/2014
Culpeper,Albemarle County,00053,THOMAS JEFFERSON PA,1059,0027374,BUCK ISLAND CREEK,Bridge,2005,0,-1,8,8,8,N,68.6,Y,,,4/22/2013,-,,,,VDOT,132,42.3,8701,Primary,100,2/5/2014
Culpeper,Fauquier County,00017,Reloc. Rte. 17 SBL,1139,0027541,Route 15/29,Bridge,2013,0,-1,8,9,8,N,98.0,Y,,,7/16/2013,-,,,,VDOT,256,31.3,10000,Primary,99.93,2/5/2014
Culpeper,Rappahannock County,00522,Sperryville Pike,1001,0027619,South Fork Walnut Creek,Culvert,2004,0,-1,N,N,N,7,98.6,Y,,,11/19/2012,-,,,,VDOT,25,80,1908,Primary,94.79,2/5/2014
